metro,status,max_assistance_usd,program_or_finding,source_url,as_of
Akron,program_found,,"2.5% or 5% of the home's purchase price. OHFA (Ohio) 'Your Choice!' states: 'Down Payment Assistance allows homebuyers to choose either 2.5% or 5% of the home's purchase price.' Forgiven after seven years. No dollar cap stated. NOTE: percentage of PURCHASE PRICE, not loan amount.",https://ohiohome.org/partners/documents/DPA.pdf,2026-08
Albany,program_found,30000,SONYMA Down Payment Assistance Loan (DPAL/DPAL Plus),https://hcr.ny.gov/dpal-plus-2026-term-sheet,2026-07
Albuquerque,none_found,,checked New Mexico MFA's full DPA product line; no 2-4 unit-eligible program found,https://downpaymentscout.com/states/new-mexico/,2026-07
Allentown,program_found,6000,PHFA Keystone Advantage Assistance Loan,https://www.phfa.org/programs/assistance/keystone-advantage.aspx,2026-07
Atlanta,none_found,,"Georgia Dream Homeownership Program. The program's published eligibility matrix excludes 2-4 unit properties. NOT confirmed with the agency: two attempts to reach DCA in August 2026 were undeliverable (Daniela.Vargas@dca.ga.gov returned 550 Access denied, an Outlook allowlist; housing@dca.georgia.go",https://dca.georgia.gov/document/resources/georgia-dream-standard-matrix/download,2026-08
Austin,program_found,15000,TDHCA My First Texas Home (statewide),https://welcomehome.tdhca.texas.gov/uploads/My-First-Texas-Home-Program-Matrix-TMS.pdf?v=1738018341,2026-07
Bakersfield,program_found,19000,GSFA Platinum (statewide joint powers authority),https://www.gsfahome.org/programs/dpa/platinum.shtml,2026-07
Baltimore,program_found,15000,Maryland Mortgage Program (MMP/CDA) DPA - Flex product line,https://mmp.maryland.gov/Lenders/Documents/CDAPROGRAMCODEGUIDE.pdf,2026-07
Baton Rouge,none_found,,"Louisiana Housing Corporation. Confirmed 2026-08-13 by email from Daniel Duggan, Homeownership Business Development and Marketing Supervisor (""We do not allow down payment assistance on two to four unit properties""), and Cody Henderson, Single Family Manager (""LHC does not allow multi-unit dwellings",https://www.lhc.la.gov/hubfs/Document%20Libraries/Homeownership/MRB/HOMEMRB%20Guidelines.pdf,2026-08
Birmingham,none_found,,"AHFA Step Up. Single-family only. Confirmed 2026-08-13 by email from Madison Adams, Operations Support Specialist, Alabama Housing Finance Authority: ""No, it can only be a Single-Family residence."" Supersedes the earlier note that unit eligibility could not be confirmed.",https://www.ahfa.com/programs/homeownership/available-programs/step-up,2026-08
Boston,program_found,30000,MassHousing Down Payment Assistance,https://www.masshousing.com/en/home-ownership/homebuyers/down-payment-assistance,2026-07
Bridgeport,program_found,25000,CHFA Time to Own (statewide),https://www.chfa.org/homebuyers-homeowners/homebuyers/time-to-own-down-payment-assistance-program-loan/,2026-07
Buffalo,program_found,30000,SONYMA Down Payment Assistance Loan (DPAL/DPAL Plus),https://hcr.ny.gov/dpal-plus-2026-term-sheet,2026-07
Cape Coral-Fort Myers,program_found,35000,Florida Hometown Heroes (statewide),https://www.ehousingplus.com/wp-content/uploads/FHFC-HTH-Bond-Guide-03-31-26.pdf,2026-07
Charleston,program_found,,"3% or 4% of the total first mortgage loan amount. Palmetto Home Advantage Program Guide (2026-02-02): 'Down Payment Assistance is available with a 0%, 3% or 4% of the total first mortgage loan amount (including UPMIP, Funding or Guarantee Fee)'. Forgivable second, 10-year, 0%; the guide says 'This i",https://schousing.sc.gov/sites/schousing/files/Documents/Homebuyers/Palmetto%20Home%20Advantage/PA-020%20Palmetto%20Home%20Advantage%20Program%20Guide%20(02.02.2026).pdf,2026-08
Charlotte,program_found,,"up to 3% of the first mortgage total loan amount. NC Home Advantage Mortgage Program Guide (June 2026), s4.13: '3% calculated on total loan amount, not sales/appraised value'. 15-year deferred subordinate lien at 0%.",https://www.nchfa.com/sites/default/files/2026-06/NCHomeAdvantageMortgageProgramGuide.pdf,2026-08
Chicago,program_found,10000,IHDAccess Repayable (Illinois Housing Development Authority),https://downpaymentscout.com/states/illinois/,2026-07
Cincinnati,program_found,,"2.5% or 5% of the home's purchase price. OHFA (Ohio) 'Your Choice!' states: 'Down Payment Assistance allows homebuyers to choose either 2.5% or 5% of the home's purchase price.' Forgiven after seven years. No dollar cap stated. NOTE: percentage of PURCHASE PRICE, not loan amount.",https://ohiohome.org/partners/documents/DPA.pdf,2026-08
Cleveland,program_found,10000,OHFA Down Payment Assistance (Your Choice!) - Conventional Program,https://ohiohome.org/partners/documents/Conventional-Guidelines-25.pdf,2026-07
Columbus,program_found,14000,OHFA Down Payment Assistance (Your Choice!) - Conventional Program,https://ohiohome.org/partners/documents/Conventional-Guidelines-25.pdf,2026-07
Dallas,program_found,15000,TDHCA My First Texas Home (statewide),https://welcomehome.tdhca.texas.gov/uploads/My-First-Texas-Home-Program-Matrix-TMS.pdf?v=1738018341,2026-07
Dayton,program_found,,"2.5% or 5% of the home's purchase price. OHFA (Ohio) 'Your Choice!' states: 'Down Payment Assistance allows homebuyers to choose either 2.5% or 5% of the home's purchase price.' Forgiven after seven years. No dollar cap stated. NOTE: percentage of PURCHASE PRICE, not loan amount.",https://ohiohome.org/partners/documents/DPA.pdf,2026-08
Denver,program_found,,"up to 5% of the first mortgage note amount. metroDPA: assistance 'equal to a percentage of the note amount', varying by loan product up to 5%; 30-year deferred second at 0%, explicitly not a grant. A fuller tier table exists only on a lender marketing site and was NOT used.",https://www.metro-dpa.com/,2026-08
Detroit,program_found,25000,City of Detroit Down Payment Assistance Program,https://detroitmi.gov/sites/detroitmi.localhost/files/2024-06/Detroit%20DPA%20Applcation.pdf,2026-07
El Paso,program_found,5000,City of El Paso First-Time Homebuyer Program,https://www.elpasotexas.gov/assets/Documents/CoEP/Community-Development/FIRST-TIME-HOMEBUYER-ENGLISH-new.pdf,2026-07
Fort Wayne,none_found,,"IHCDA Next Home / First Step / Hoosier Homes (checked, all exclude 2-4 unit)",https://www.in.gov/ihcda/files/Next-Home-FHA-PG-7.28.21.pdf,2026-07
Fresno,program_found,,"up to 5.5% of the first mortgage loan amount. GSFA Platinum states 'Financial Assistance (up to 5.5%)' of the First Mortgage loan amount, split into a second mortgage plus a gift component; GSFA publishes NO flat dollar cap on the assistance, only a maximum first mortgage loan limit of $832,750. Pre",https://gsfahome.org/programs/dpa/platinum.shtml,2026-08
Grand Rapids,program_found,10000,MSHDA MI 10K DPA Loan (statewide),https://www.michigan.gov/mshda/pathway-to-housing/mi-10k-dpa-loan,2026-07
Greensboro,program_found,,"up to 3% of the first mortgage total loan amount. NC Home Advantage Mortgage Program Guide (June 2026), s4.13: '3% calculated on total loan amount, not sales/appraised value'. 15-year deferred subordinate lien at 0%.",https://www.nchfa.com/sites/default/files/2026-06/NCHomeAdvantageMortgageProgramGuide.pdf,2026-08
Harrisburg,program_found,6000,PHFA Keystone Advantage Assistance Loan,https://www.phfa.org/programs/assistance/keystone-advantage.aspx,2026-07
Hartford,program_found,25000,CHFA Time To Own (Down Payment Assistance),https://www.chfa.org/assets/1/6/Pages_from_Operations_Manual_sections_2_combined_Rev_4.2026_FINAL.pdf,2026-07
Houston,program_found,16000,TSAHC Homeownership DPA (Home Sweet Texas / Homes for Texas Heroes),https://kb.tsahc.org/39170/kb/article/102870/what-type-of-home-can-i-buy-with-tsahcs-homeownership-programs,2026-07
Indianapolis,none_found,,None confirmed for 2-4 unit,https://www.in.gov/ihcda/files/HOD-Universal-Program-Guide-Final.pdf,2026-07
Jacksonville,program_found,10000,Florida Housing FL Assist (statewide second mortgage),https://www.ehousingplus.com/wp-content/uploads/FHFC-HTH-TBA-Guide-FNMA-Removed-08-01-25.pdf,2026-07
Kansas City,program_found,,4% of the total mortgage amount. MHDC First Place Cash Assistance Loan: 'a 100% forgivable second loan equal to 4% of the total mortgage amount to help with down payment and closing costs'. Fully forgiven at year 10. No dollar cap found in MHDC's own documents.,https://mhdc.com/media/k5epnlpt/first-place-manual-march-2026.pdf,2026-08
Knoxville,unconfirmed,,"THDA Great Choice Plus, 5% of price capped at $15,000 - 2-4 unit eligibility NOT stated on program page.",https://thda.org/homebuyers/down-payment-assistance/,2026-07
Lakeland,program_found,10000,Florida Housing FL Assist (statewide second mortgage),https://www.ehousingplus.com/wp-content/uploads/FHFC-HTH-TBA-Guide-FNMA-Removed-08-01-25.pdf,2026-07
Las Vegas,program_found,,"Nevada Home Is Possible HIP-DPA. Assistance is 3% or 5% of the LOAN AMOUNT, not a fixed dollar sum, so no dollar figure is published for this metro - the live page shows '5% of the loan'. The 5% tier carries a slightly higher interest rate than the 3% tier. Property type confirmed twice: NHD's own d",https://www.homeispossiblenv.org/todays-rates,2026-08
Los Angeles,program_found,,"up to 5.5% of the first mortgage loan amount. GSFA Platinum states 'Financial Assistance (up to 5.5%)' of the First Mortgage loan amount, split into a second mortgage plus a gift component; GSFA publishes NO flat dollar cap on the assistance, only a maximum first mortgage loan limit of $832,750. Pre",https://gsfahome.org/programs/dpa/platinum.shtml,2026-08
Louisville,unconfirmed,,"KHC Down Payment Assistance, up to $12,500 - 2-4 unit eligibility NOT stated on program page.",https://www.kyhousing.org/page/down-payment-assistance,2026-07
McAllen,program_found,10000,"TSAHC Homeownership DPA (statewide, covers Rio Grande Valley)",https://kb.tsahc.org/39170/kb/article/102870/what-type-of-home-can-i-buy-with-tsahcs-homeownership-programs,2026-07
Memphis,program_found,15000,THDA Great Choice Home Loan / Down Payment Assistance,https://dogvxws799i6n.cloudfront.net/wp-content/uploads/OA-Guide-Current.pdf,2026-07
Miami,program_found,10000,Florida Housing FL Assist (statewide second mortgage),https://www.ehousingplus.com/wp-content/uploads/FHFC-HTH-TBA-Guide-FNMA-Removed-08-01-25.pdf,2026-07
Milwaukee,program_found,14000,WHEDA Easy Close Advantage,https://www.wheda.com/globalassets/documents/mortgage-lending/easy-close-dpa/easy-close-dpa-eligibility-matrix.pdf,2026-07
Minneapolis,program_found,20000,Minneapolis Homes: ACCESS Down Payment Assistance (City of Minneapolis),https://nwhomepartners.org/minneapolis-homes-access-down-payment-assistance/,2026-07
Nashville,program_found,15000,THDA Great Choice Home Loan / Down Payment Assistance,https://dogvxws799i6n.cloudfront.net/wp-content/uploads/OA-Guide-Current.pdf,2026-07
New Orleans,program_found,25000,"Finance New Orleans (FANO) Green Mortgage Program. 'Up to $25,000 may be applied as either downpayment assistance, prepaids, closing cost assistance, or a combination of both.' 0% second; at or below 80% AMI it is a five-year deferred forgivable second and 'one hundred percent of the second mortgage",https://www.ehousingplus.com/wp-content/uploads/FNO-Green-Mortgage-Program-Guide-03-20-26.pdf,2026-08
New York,program_found,100000,NYC HPD HomeFirst Down Payment Assistance Program,https://www.nyc.gov/site/hpd/services-and-information/homefirst-down-payment-assistance-program.page,2026-07
North Port-Sarasota,program_found,10000,Florida Housing FL Assist (statewide second mortgage),https://www.ehousingplus.com/wp-content/uploads/FHFC-HTH-TBA-Guide-FNMA-Removed-08-01-25.pdf,2026-07
Oklahoma City,program_found,,"3.5% of the total loan amount. Oklahoma OHFA DREAM (ohfa.org, NOT Ohio's myohiohome.org): '3.50% Down Payment Assistance' ... 'DPA calculated on Total Loan Amount (Note Amount)'. Same figure for the government and the Freddie Mac conventional products. Guides revised September 2025.",https://www.ohfa.org/wp-content/uploads/2025/LDREAMGOVT-Guide-2025-9152025-IFF-INCREASE.pdf,2026-08
Omaha,program_found,,"up to 5% of the home's purchase price. NIFA Homebuyer Assistance (HBA): 'The maximum amount for the second mortgage loan is 5% of the home's purchase price.' Repayable second, 10-year term, 1% interest. NOTE: percentage of PURCHASE PRICE. Also note NIFA 'Build Home' is a rate-lock product, NOT the D",https://www.nifa.org/homebuyers-renters/homebuyer-assistance,2026-08
Orlando,program_found,10000,Florida Housing FL Assist (statewide second mortgage),https://www.ehousingplus.com/wp-content/uploads/FHFC-HTH-TBA-Guide-FNMA-Removed-08-01-25.pdf,2026-07
Oxnard,program_found,,"up to 5.5% of the first mortgage loan amount. GSFA Platinum states 'Financial Assistance (up to 5.5%)' of the First Mortgage loan amount, split into a second mortgage plus a gift component; GSFA publishes NO flat dollar cap on the assistance, only a maximum first mortgage loan limit of $832,750. Pre",https://gsfahome.org/programs/dpa/platinum.shtml,2026-08
Philadelphia,program_found,10000,Philly First Home,https://www.phila.gov/programs/philly-first-home-program/,2026-07
Phoenix,none_found,,checked Arizona's state and Phoenix-area DPA product line; no 2-4 unit-eligible program found,https://downpaymentscout.com/down-payment-assistance-phoenix/,2026-07
Pittsburgh,program_found,7500,URA (Urban Redevelopment Authority of Pittsburgh) Down Payment and Closing Cost Assistance,https://www.ura.org/pages/down-payment-and-closing-cost-assistance-program,2026-07
Portland,program_found,15000,"FHLBank Des Moines Home$tart (member-bank grant, covers Oregon)",https://www.fhlbdm.com/webres/File/products-services/CID_DP-Program-Overview.pdf,2026-07
Portland ME,program_found,5000,MaineHousing First Home Loan Program (down payment/closing cost assistance),https://downpaymentscout.com/states/maine/,2026-07
Providence,program_found,15000,RIHousing $15K DPA,https://www.rihousing.com/homebuyers/15k-dpa/,2026-07
Raleigh,program_found,,"up to 3% of the first mortgage total loan amount. NC Home Advantage Mortgage Program Guide (June 2026), s4.13: '3% calculated on total loan amount, not sales/appraised value'. 15-year deferred subordinate lien at 0%. ELIGIBILITY CORRECTED 2026-08-13: Raleigh was previously recorded as 'None found' o",https://www.nchfa.com/sites/default/files/2026-06/NCHomeAdvantageMortgageProgramGuide.pdf,2026-08
Richmond,program_found,40000,"Virginia DHCD HOMEownership Down Payment Assistance Program (DPA). 2-4 unit eligible if buyer occupies one unit; up to $40,000 (10-15% of price plus up to $2,500 closing costs).",https://www.dhcd.virginia.gov/sites/default/files/DocX/dpa/dpa-program-guidelines.pdf,2026-08
Riverside-San Bernardino,program_found,,"up to 5.5% of the first mortgage loan amount. GSFA Platinum states 'Financial Assistance (up to 5.5%)' of the First Mortgage loan amount, split into a second mortgage plus a gift component; GSFA publishes NO flat dollar cap on the assistance, only a maximum first mortgage loan limit of $832,750. Pre",https://gsfahome.org/programs/dpa/platinum.shtml,2026-08
Rochester,program_found,30000,"SONYMA Down Payment Assistance Loan (DPAL), paired with Achieving the Dream / Low Interest Rate mortgage",https://hcr.ny.gov/achieving-dream-program-0,2026-07
Sacramento,program_found,,"up to 5.5% of the first mortgage loan amount. GSFA Platinum states 'Financial Assistance (up to 5.5%)' of the First Mortgage loan amount, split into a second mortgage plus a gift component; GSFA publishes NO flat dollar cap on the assistance, only a maximum first mortgage loan limit of $832,750. Pre",https://gsfahome.org/programs/dpa/platinum.shtml,2026-08
Salt Lake City,program_found,25000,Utah Housing Corporation DPA (FHA/VA Mortgage down payment assistance option),https://downpaymentscout.com/states/utah/,2026-07
San Antonio,program_found,,2% to 5% of the total mortgage loan amount. TDHCA My First Texas Home: 'Available assistance ranging from 2% - 5% of the total mortgage loan funding'. Borrower chooses a 30-year deferred repayable second or a 3-year deferred forgivable second.,https://welcomehome.tdhca.texas.gov/uploads/My-First-Texas-Home-Program-Matrix-TMS.pdf,2026-08
San Diego,program_found,,"up to 5.5% of the first mortgage loan amount. GSFA Platinum states 'Financial Assistance (up to 5.5%)' of the First Mortgage loan amount, split into a second mortgage plus a gift component; GSFA publishes NO flat dollar cap on the assistance, only a maximum first mortgage loan limit of $832,750. Pre",https://gsfahome.org/programs/dpa/platinum.shtml,2026-08
San Francisco,program_found,,"up to 5.5% of the first mortgage loan amount. GSFA Platinum states 'Financial Assistance (up to 5.5%)' of the First Mortgage loan amount, split into a second mortgage plus a gift component; GSFA publishes NO flat dollar cap on the assistance, only a maximum first mortgage loan limit of $832,750. Pre",https://gsfahome.org/programs/dpa/platinum.shtml,2026-08
San Jose,program_found,,"up to 5.5% of the first mortgage loan amount. GSFA Platinum states 'Financial Assistance (up to 5.5%)' of the First Mortgage loan amount, split into a second mortgage plus a gift component; GSFA publishes NO flat dollar cap on the assistance, only a maximum first mortgage loan limit of $832,750. Pre",https://gsfahome.org/programs/dpa/platinum.shtml,2026-08
Scranton,program_found,6000,PHFA Keystone Advantage Assistance Loan,https://www.phfa.org/programs/assistance/keystone-advantage.aspx,2026-07
