metro,state,survivors,thin,entry_price_usd,typical_price_usd,kept_per_month_usd,keep_ratio,rank,foothold_score,entry_pillar,cashflow_pillar,durability_pillar,fha_limit_2unit_usd,fha_limit_3unit_usd,fha_limit_4unit_usd,fha_limit_basis
Rochester,NY,87,False,160000,234900,563,0.516,1,64.9,65.5,84.1,50.1,693050,837700,1041125,national floor
Syracuse,NY,92,False,198000,240000,716,0.526,2,63.9,54.5,88.6,52.4,693050,837700,1041125,national floor
Albany,NY,69,False,269900,299900,558,0.421,3,60.3,36.4,79.5,63.9,693050,837700,1041125,national floor
Cleveland,OH,62,False,169997,210000,333,0.29,4,53.7,52.7,59.1,50.3,693050,837700,1041125,national floor
Youngstown,OH,14,True,127500,190000,234,0.295,5,48.3,56.4,43.2,46.1,693050,837700,1041125,national floor
Pittsburgh,PA,266,False,249000,319900,163,0.107,6,46.6,34.5,47.7,54.8,693050,837700,1041125,national floor
Buffalo,NY,240,False,237900,284900,241,0.197,7,43.8,41.8,40.9,47.4,693050,837700,1041125,national floor
Toledo,OH,40,False,134900,150000,-50,-0.071,8,39.3,72.7,2.3,42.0,693050,837700,1041125,national floor
Chicago,IL,366,False,449000,550000,184,0.083,9,37.3,7.3,43.2,55.5,693050,837700,1041125,national floor
Grand Rapids,MI,51,False,279000,352000,-103,-0.071,10,34.2,21.8,29.5,47.0,693050,837700,1041125,national floor
Memphis,TN,16,True,160000,173000,-21,-0.024,11,33.9,54.5,15.9,32.0,693050,837700,1041125,national floor
Akron,OH,15,True,169900,199900,-600,-0.81,,,,,,693050,837700,1041125,national floor
Albuquerque,NM,9,True,444444,479990,-1902,-1.968,,,,,,693050,837700,1041125,national floor
Allentown,PA,73,False,234900,339499,-421,-0.372,,,,,,693050,837700,1041125,national floor
Atlanta,GA,64,False,375000,499000,-1097,-0.618,,,,,,920150,1112250,1382250,MSA above-floor
Austin,TX,165,False,450000,499900,-2204,-1.642,,,,,,731700,884450,1099150,MSA above-floor
Bakersfield,CA,118,False,370000,450000,-1866,-1.806,,,,,,693050,837700,1041125,national floor
Baltimore,MD,18,True,250000,300000,-583,-0.478,,,,,,956950,1156700,1437500,MSA above-floor
Baton Rouge,LA,43,False,230000,319900,-1380,-1.433,,,,,,693050,837700,1041125,national floor
Birmingham,AL,1,True,449000,449000,-1305,-0.895,,,,,,693050,837700,1041125,national floor
Boston,MA,217,False,915000,1100000,-1955,-0.728,,,,,,1232250,1489500,1851100,MSA above-floor
Bridgeport,CT,106,False,539999,599900,-1052,-0.653,,,,,,1251400,1512650,1879850,MSA above-floor
Cape Coral-Fort Myers,FL,178,False,389900,460000,-1992,-1.68,,,,,,693050,837700,1041125,national floor
Charleston,SC,28,False,575000,695000,-1130,-0.54,,,,,,883300,1067750,1326950,MSA above-floor
Charlotte,NC,20,False,440000,625000,-1909,-1.355,,,,,,693050,837700,1041125,national floor
Cincinnati,OH,107,False,285000,345000,-1385,-1.237,,,,,,693050,837700,1041125,national floor
Columbus,OH,188,False,245000,310000,-660,-0.636,,,,,,756700,914700,1136750,MSA above-floor
Dallas,TX,70,False,399000,549000,-2437,-1.992,,,,,,721400,872000,1083650,MSA above-floor
Dayton,OH,31,False,185000,220000,-672,-0.875,,,,,,693050,837700,1041125,national floor
Denver,CO,68,False,550000,700000,-2544,-1.739,,,,,,1104150,1334700,1658700,MSA above-floor
Detroit,MI,1,True,229900,229900,337,0.345,,,,,,693050,837700,1041125,national floor
El Paso,TX,40,False,198000,250000,-833,-1.041,,,,,,693050,837700,1041125,national floor
Fort Wayne,IN,50,False,134900,189000,-148,-0.188,,,,,,693050,837700,1041125,national floor
Fresno,CA,47,False,399000,544900,-1370,-1.154,,,,,,693050,837700,1041125,national floor
Greensboro,NC,6,True,250000,412000,-1423,-1.482,,,,,,693050,837700,1041125,national floor
Harrisburg,PA,10,True,185000,335000,-282,-0.234,,,,,,693050,837700,1041125,national floor
Hartford,CT,50,False,350000,399999,-549,-0.461,,,,,,693050,837700,1041125,national floor
Houston,TX,145,False,309000,428000,-2183,-2.108,,,,,,693050,837700,1041125,national floor
Indianapolis,IN,28,False,249900,300000,-645,-0.585,,,,,,693050,837700,1041125,national floor
Jacksonville,FL,71,False,244990,283990,-1157,-1.291,,,,,,743450,898700,1116850,MSA above-floor
Kansas City,MO,14,True,350000,389000,-1319,-1.073,,,,,,693050,837700,1041125,national floor
Knoxville,TN,40,False,316848,499000,-1386,-1.329,,,,,,693050,837700,1041125,national floor
Lakeland,FL,33,False,259000,331000,-1444,-1.31,,,,,,693050,837700,1041125,national floor
Las Vegas,NV,63,False,411235,514900,-2054,-2.069,,,,,,693050,837700,1041125,national floor
Los Angeles,CA,1318,False,790000,975000,-3999,-2.312,,,,,,1599375,1933200,2402625,MSA above-floor
Louisville,KY,86,False,300000,389000,-1287,-1.286,,,,,,693050,837700,1041125,national floor
McAllen,TX,100,False,365000,520000,-3642,-4.123,,,,,,693050,837700,1041125,national floor
Miami,FL,149,False,675000,769900,-2273,-1.049,,,,,,853900,1032150,1282700,MSA above-floor
Milwaukee,WI,81,False,315000,369900,-1025,-0.931,,,,,,693050,837700,1041125,national floor
Minneapolis,MN,75,False,365000,455000,-971,-0.743,,,,,,706650,854200,1061550,MSA above-floor
Nashville,TN,44,False,449000,525000,-1486,-0.935,,,,,,1317650,1592700,1979350,MSA above-floor
New Orleans,LA,38,False,300000,389000,-22,-0.012,,,,,,693050,837700,1041125,national floor
New York,NY,3492,False,899000,1149000,-334,-0.096,,,,,,1599375,1933200,2402625,MSA above-floor
North Port-Sarasota,FL,61,False,387502,429788,-1703,-1.155,,,,,,700750,847050,1052700,MSA above-floor
Oklahoma City,OK,64,False,299000,340000,-1393,-1.528,,,,,,693050,837700,1041125,national floor
Omaha,NE,37,False,300000,385000,-1548,-1.558,,,,,,693050,837700,1041125,national floor
Orlando,FL,79,False,274900,400000,-1232,-0.8,,,,,,693050,837700,1041125,national floor
Oxnard,CA,18,True,829000,999000,-4650,-2.762,,,,,,1325000,1601600,1990450,MSA above-floor
Philadelphia,PA,393,False,339950,425000,-1053,-0.721,,,,,,806750,975200,1211950,MSA above-floor
Phoenix,AZ,82,False,499999,598000,-2272,-2.402,,,,,,714000,863100,1072600,MSA above-floor
Portland,OR,154,False,585000,675000,-2213,-1.487,,,,,,898050,1085550,1349050,MSA above-floor
Portland ME,ME,15,True,505000,660000,-2519,-1.557,,,,,,787650,952050,1183200,MSA above-floor
Providence,RI,170,False,579000,665000,-1664,-1.108,,,,,,1008450,1219000,1514950,MSA above-floor
Raleigh,NC,22,False,265000,470000,-1489,-1.171,,,,,,693050,837700,1041125,national floor
Richmond,VA,30,False,424900,599900,-2502,-1.766,,,,,,905400,1094450,1360100,MSA above-floor
Riverside-San Bernardino,CA,79,False,559990,629888,-1614,-0.933,,,,,,883300,1067750,1326950,MSA above-floor
Sacramento,CA,129,False,545000,688000,-2567,-1.94,,,,,,979000,1183400,1470700,MSA above-floor
Salt Lake City,UT,41,False,615000,749900,-3146,-2.75,,,,,,815600,985900,1225200,MSA above-floor
San Antonio,TX,209,False,289900,374000,-1851,-1.982,,,,,,714000,863100,1072600,MSA above-floor
San Diego,CA,163,False,999000,1250000,-5732,-2.823,,,,,,1413350,1708400,2123100,MSA above-floor
San Francisco,CA,77,False,1200000,1400000,-3110,-0.847,,,,,,1599375,1933200,2402625,MSA above-floor
San Jose,CA,70,False,1250000,1425000,-6286,-2.62,,,,,,1599375,1933200,2402625,MSA above-floor
Scranton,PA,0,True,,,,,,,,,,693050,837700,1041125,national floor
Seattle,WA,120,False,875000,1100000,-3769,-1.796,,,,,,1361800,1646100,2045700,MSA above-floor
Spokane,WA,90,False,349950,399999,-1163,-1.184,,,,,,693050,837700,1041125,national floor
St. Louis,MO,46,False,315000,365000,-1358,-1.276,,,,,,693050,837700,1041125,national floor
Tampa,FL,72,False,325000,405999,-1353,-1.039,,,,,,693050,837700,1041125,national floor
Tucson,AZ,122,False,339500,425000,-2025,-2.536,,,,,,693050,837700,1041125,national floor
Tulsa,OK,13,True,320000,368000,-1888,-1.958,,,,,,693050,837700,1041125,national floor
Virginia Beach-Norfolk,VA,35,False,349900,389000,-554,-0.408,,,,,,970200,1172750,1457450,MSA above-floor
Washington DC,DC,44,False,850000,1130000,-4585,-1.563,,,,,,1599375,1933200,2402625,MSA above-floor
Wichita,KS,143,False,365000,370000,-1473,-1.371,,,,,,693050,837700,1041125,national floor
Worcester,MA,114,False,590000,649995,-1368,-0.899,,,,,,697800,843500,1048300,MSA above-floor
