listing_id,listing_url,neighborhood,room_type,property_type,capacity_guests,superhost,review_count,star_rating,host_id,host_inscope_listings,lat,lng,dist_to_boundary_m,nearest_other_neighborhood,boundary_uncertain_any_150m,boundary_uncertain_material,rate_2night_total_2026-09-15_17_usd,rate_2night_total_2026-09-25_27_usd,rate_2night_total_2026-12-11_13_usd,checked_date,checker,delisted_by,live_as_of
5422411,https://www.airbnb.com/rooms/5422411,Lower Lawrenceville,Entire home/apt,Entire rental unit,5,true,447,4.97,22888865,1,40.46755,-79.96266,110,Central Lawrenceville,yes,no,430,,430,2026-08-25,claude-draft,,2026-08-31
1291372666740310826,https://www.airbnb.com/rooms/1291372666740310826,Central Lawrenceville,Entire home/apt,Entire home,4,true,117,5,557750525,1,40.46889,-79.9604,130,Lower Lawrenceville,yes,no,,,390,2026-08-25,claude-draft,,2026-08-31
1348153363699708425,https://www.airbnb.com/rooms/1348153363699708425,Lower Lawrenceville,Entire home/apt,Entire home,4,true,63,4.98,7556262,39,40.4646,-79.9668,347,,no,no,571,,,2026-08-25,claude-draft,,2026-08-31
37393931,https://www.airbnb.com/rooms/37393931,Lower Lawrenceville,Entire home/apt,Entire rental unit,2,false,256,5,177417636,2,40.46501,-79.96341,351,,no,no,462,,,2026-08-25,claude-draft,,2026-08-31
1516002738872842028,https://www.airbnb.com/rooms/1516002738872842028,Bloomfield,Entire home/apt,Entire rental unit,5,true,121,4.98,119032110,7,40.4623,-79.9497,337,,no,no,467,,334,2026-08-25,claude-draft,,2026-08-31
1479891317100868220,https://www.airbnb.com/rooms/1479891317100868220,Central Lawrenceville,Entire home/apt,Entire home,5,true,43,5,7556262,39,40.4742,-79.9586,508,,no,no,717,,,2026-08-25,claude-draft,,2026-08-31
1569280632921817742,https://www.airbnb.com/rooms/1569280632921817742,Central Lawrenceville,Entire home/apt,Entire home,6,true,25,5,419547306,1,40.47024,-79.96175,150,Lower Lawrenceville,no,no,611,,,2026-08-25,claude-draft,,2026-08-31
1174476618701038849,https://www.airbnb.com/rooms/1174476618701038849,Lower Lawrenceville,Entire home/apt,Entire home,6,true,72,5,85925569,1,40.46538,-79.96293,293,,no,no,,,,2026-08-25,claude-draft,,2026-08-31
1330543939448336477,https://www.airbnb.com/rooms/1330543939448336477,Lower Lawrenceville,Entire home/apt,Entire home,6,true,74,4.95,7556262,39,40.4654,-79.9626,271,,no,no,619,,,2026-08-25,claude-draft,,2026-08-31
764348495292444951,https://www.airbnb.com/rooms/764348495292444951,Lower Lawrenceville,Entire home/apt,Entire home,4,true,210,4.98,7556262,39,40.468,-79.9645,190,,no,no,629,,,2026-08-25,claude-draft,,2026-08-31
1269829662918593291,https://www.airbnb.com/rooms/1269829662918593291,Central Lawrenceville,Entire home/apt,Entire home,6,true,72,4.94,171867714,2,40.47063,-79.96231,146,Lower Lawrenceville,yes,no,597,,,2026-08-25,claude-draft,,2026-08-31
1373970224573484787,https://www.airbnb.com/rooms/1373970224573484787,Lower Lawrenceville,Entire home/apt,Entire rental unit,2,false,78,5,177417636,2,40.4646,-79.9644,442,,no,no,323,,,2026-08-25,claude-draft,,2026-08-31
1599613006852253947,https://www.airbnb.com/rooms/1599613006852253947,Lower Lawrenceville,Entire home/apt,Entire rental unit,5,true,39,5,585852167,5,40.46293,-79.96659,236,,no,no,,1560,710,2026-08-25,claude-draft,,2026-08-31
1491905,https://www.airbnb.com/rooms/1491905,Bloomfield,Entire home/apt,Entire guest suite,2,true,230,4.98,582552,1,40.46446,-79.94133,35,Garfield,yes,yes,457,,,2026-08-25,claude-draft,,2026-08-31
1228454826138794467,https://www.airbnb.com/rooms/1228454826138794467,Lower Lawrenceville,Entire home/apt,Entire rental unit,8,true,167,4.94,119032110,7,40.46674,-79.96492,312,,no,no,536,,,2026-08-25,claude-draft,,2026-08-31
642056966255958880,https://www.airbnb.com/rooms/642056966255958880,Lower Lawrenceville,Entire home/apt,Entire townhouse,4,true,240,4.98,192686848,1,40.468,-79.9651,226,,no,no,475,,,2026-08-25,claude-draft,,2026-08-31
754352236120740672,https://www.airbnb.com/rooms/754352236120740672,Lower Lawrenceville,Entire home/apt,Entire rental unit,2,true,142,4.9,7556262,39,40.4669,-79.9641,249,,no,no,369,,,2026-08-25,claude-draft,,2026-08-31
1415910853958095420,https://www.airbnb.com/rooms/1415910853958095420,Central Lawrenceville,Entire home/apt,Entire rental unit,8,true,130,4.99,177691474,12,40.47679,-79.95624,161,,no,no,601,1736,,2026-08-25,claude-draft,,2026-08-31
721034678381637092,https://www.airbnb.com/rooms/721034678381637092,Bloomfield,Entire home/apt,Entire home,5,true,162,4.91,7556262,39,40.4615,-79.9523,174,,no,no,493,,,2026-08-25,claude-draft,,2026-08-31
1348139066489094391,https://www.airbnb.com/rooms/1348139066489094391,Lower Lawrenceville,Entire home/apt,Entire home,4,true,47,4.98,7556262,39,40.4647,-79.9668,354,,no,no,505,,,2026-08-25,claude-draft,,2026-08-31
